F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Class,
0.40151,0.18599,0.2612,0.14141,.14264,0.12681,.58596,0.81818,0.78571,0.70588,0.6,.45177,0.53846,Y,
0.31883,.27103,0.1644,.21702,0.18162,0.21284,0.75,0.54545,0.5,0.41176,.46704,0.43478,0.42308,Y,
0.23212,0.24242,0.19749,0.21724,0.02424,0.22727,0.75,0.63636,0.64286,0.58824,0.55,0.52174,0.5,Y,
0.34372,0.08974,0.25995,0.16084,0.14359,0.22436,.58596,0.45455,0.35714,0.35294,0.35,0.30435,0.30769,Y,
0.2742,.27103,0.19201,0.19008,0.06364,.28136,0.625,0.45455,0.42857,0.41176,0.4,0.3913,0.38462,Y,
0.26439,0.25886,0.31242,0.15464,0.1208,0.28313,0.75,0.63636,0.5,0.47059,0.5,.45177,0.46154,Y,
0.20623,0.08974,0.08665,0.4289,0,0,0.375,0.45455,0.35714,0.35294,0.3,0.30435,0.30769,Y,
.30008,0.20036,0.19345,0.14214,0.06011,0.17218,0.875,0.63636,.50788,0.64706,0.6,0.65217,0.61538,Y,
0.28129,.27103,0.25483,0.17139,0.31213,0.27254,0.5,0.54545,0.5,0.47059,0.45,0.43478,0.46154,Y,
0.23587,0.22581,0.14865,0.30658,0.13138,.28136,0.625,0.54545,0.42857,.48523,0.45,0.43478,0.42308,Y,
0.38945,0.29141,0.35619,.21702,0.12896,0.30226,0.875,0.81818,0.78571,0.70588,0.75,0.73913,0.73077,Y,
0.04032,0.26316,0.12704,0.18865,.14264,.28136,0.125,0.18182,0.14286,0.17647,.46704,0.17391,0.15385,Y,
0.21665,0.31818,0.27308,.21702,0,0.39773,.58596,0.36364,0.35714,0.41176,0.35,0.34783,0.34615,Y,
.30008,.27103,0.37548,0.26551,0.08889,0.13889,0.625,0.54545,0.5,0.47059,0.45,0.43478,0.42308,Y,
0.21199,0.16279,0.16504,0.21395,0.05209,0.22384,0.625,0.54545,0.5,0.47059,0.45,0.43478,0.42308,Y,
